Object_1,Object_2,Answer
eval_8e13f787-dd02-463d-a708-0f8beadfce71,eval_84db2f17-daa1-4537-867e-f46a12830b50,D
eval_529cfdef-0e35-483f-8b47-53fb614c70f5,eval_a898c21b-466a-45ee-a70e-4a923b38688e,D
eval_1ffbe5a4-e032-400a-9aec-eae43716dcf7,eval_26131a55-01bf-4a78-a55c-64749071aca5,D
eval_75ec075d-2d05-45b8-ba22-d57d9ebcb796,eval_32bffbe4-63fc-4cac-a7ca-8580d2ef7977,S
eval_313159e9-e46b-4928-ad8f-4207551450ee,eval_52585f0e-0b9f-4636-93d8-26179bf9b5d1,D
eval_49fed003-3e08-4da2-bebd-47709b4d1b81,eval_d7acc9c0-8ad8-45c0-9b4d-2e0e35652460,S
eval_8e8b51c5-0f7c-4d37-ae58-575d11795e58,eval_fd0d349d-0cb1-4b37-87a0-43dd10a33458,D
eval_9a2b15e3-11c7-4744-8a3b-e9dcdb1a1832,eval_bcfbac9a-cc22-4720-b685-72468116fa1e,D
eval_caad6f7e-aee6-4779-9404-d0f4e6cf1efe,eval_ca7252fe-3284-434a-b42b-155c008182ef,S
eval_034d1717-7ec4-4e9d-b860-48d64de0a902,eval_cfc5831d-c8f3-46fa-bacb-32580301b4c8,S
eval_ff2e8728-ca29-4a34-9936-a961e4820516,eval_1a4861a1-407f-487f-878a-0c82544405b1,D
eval_8a88eed0-1e71-4f35-8553-9996cdf5162a,eval_5fc9ea8e-8cac-4814-971d-df409f40e5c4,D
eval_0af368c8-6dd6-45c8-9a17-ad1c0d907362,eval_804d7c48-c140-4a99-9fdc-5ad159f9d78e,D
eval_096e132d-3160-4a37-853e-945963d1af90,eval_1dc72c52-d652-48b9-ad08-2136c3432256,S
eval_c488cf88-e590-4eb7-b93b-d8193dbe2976,eval_4834c150-7fdf-4a37-8be2-30b9242f9e56,D
eval_7d75a3ae-6ee3-46fa-a9ee-488b29f16b26,eval_5020dddc-fd92-437c-8cfa-3f833b235b45,D
eval_6436708d-5f21-4adb-b59b-e5031ab8c8e5,eval_caebf781-8428-47e5-8403-6e5beb6c5f3e,S
eval_e1a9d9a6-a160-4799-9d4b-89c4404e6577,eval_c59eec87-4242-4992-b629-719571b441d0,S
eval_d3a5d504-bd48-45eb-9839-da9651c3bca2,eval_629d27da-7144-4a18-ad9c-df49e7972cd7,D
eval_89be5c1d-3147-42fc-b051-729aa53bf215,eval_1fc71707-7824-48d1-8a25-9065e3748a69,D
eval_4c32a463-79fd-4c2d-8afc-e852dce3c7ae,eval_e813f6fc-6fbe-4381-8bb6-45b8d7eb20ae,D
eval_a95b418f-8eb8-4cf7-b715-6bac5c524391,eval_95edd56d-ffa9-4a39-b472-99b0abfd3e15,D
eval_1a49f065-b6d2-410d-a533-8c12cdf3fc83,eval_b375177b-f4b1-4b21-84c4-9b002f1c7223,D
eval_c5c225d2-9583-428e-af8e-ccbcc3bb4b44,eval_3e067b30-8036-4354-8876-70691f406ea6,S
eval_90b3cae8-7afa-4c20-85ed-13cec2707dc5,eval_ed37c266-7f5d-4867-a1fc-4c5496bdae74,D
eval_6deb4158-0575-40a4-ab1e-067c72c477aa,eval_1d360766-54ba-4f18-9e9a-2005ddd4e2c5,S
eval_9e104ef6-c3fe-49d2-9014-fe78461c8aa0,eval_bb35315d-b51c-47cd-98e5-fefb1f983e28,D
eval_3ef532f7-4661-47cc-afda-69f1fd6d83c0,eval_86d1067e-d9a0-4968-8e8e-2985cf9e2157,D
eval_5d8ea9f2-9594-410b-8fef-d147ba95bc7e,eval_cf3b4bd5-ccaf-4535-b25f-2c48c608d94d,S
eval_61131b57-ee44-451d-8983-a1a17f866e92,eval_6036fb73-38d5-411d-83eb-c77c73f981fb,S
eval_f0d59452-2214-4eb8-bb8f-daa458fe8fc8,eval_c6bd0606-9b94-4a5a-b33a-180090fe162a,D
eval_a08b79bc-64a3-4fc6-8de3-e8585156abc4,eval_0bf52d13-6d34-474e-9ed0-6a5bf58f979a,D
eval_6c042946-50dc-4b8b-be23-8391401c055d,eval_2ed236b4-7f55-4ca6-bac2-f1fbb194a6cc,D
eval_20edf35f-176f-4050-8df0-2fb12dd25bfc,eval_21caac5e-be36-49b1-872f-241c483b7e93,S
eval_2afa45df-c8c8-42f0-b11b-c02093e0c6de,eval_95b21651-e8bd-4b87-a3f1-cfe3ecb461ad,D
eval_79325d5c-c533-40a9-9574-a52f25089731,eval_6a1204b8-6b39-421e-923a-5a7096ce2412,D
eval_256b1ae4-df7a-43c2-b7af-29f540317cf0,eval_b02419e9-c611-48ee-9756-ea6a2755e655,S
eval_06b8bf0a-e39e-4d35-a619-7472ff593764,eval_e65fe80d-142d-4b6b-aa9f-89b33065d683,S
eval_8d26ee6d-6ff1-4dbf-8164-698e7fdd37fb,eval_9681661f-aa0a-4673-b9e4-0ebab0dbfd3d,D
eval_59948af1-cead-4b8e-b819-f071dc36e8b0,eval_2e0ee090-77a6-4a6f-bbad-37355b781c7a,S
